_id,singkat,hasil
1243,trims,terima kasih
1244,trimz,terima kasih
1245,trjadi,terjadi 
1246,trkdng,terkadang 
1247,trkhr,terakhir 
1248,trlalu,terlalu 
1249,trmksh,terima kasih
1250,trmsk,termasuk 
1251,trnsfr,transfer 
1252,trnyata,ternyata 
1253,trnyt,ternyata 
1254,trs,terus 
1255,trsrh,terserah 
1256,trus,terus 
1257,tsadeest,sadis
1258,tsb,tersebut 
1259,tsbt,tersebut 
1260,ttep,tetap 
1261,ttg,tentang 
1262,ttp,tetap 
1263,tu,itu 
1264,tuch,itu
1265,tukeran,tukar 
1266,tumben,tidak biasa
1267,tw,tahu 
1268,tw,tahu
1269,u,kamu
1270,ubat,obat 
1271,ud,sudah 
1272,uda,sudah 
1273,udah,sudah 
1274,udah,sudah
1275,udd,sudah
1276,udeh,sudah 
1277,udh,sudah 
1278,udh,sudah
1279,uga,juga
1280,ujan2an,hujan-hujanan 
1281,untk,untuk 
1282,utk,untuk 
1283,von,telepon
1284,w,saya
1285,wa,saya
1286,wad,buat
1287,waduh,aduh 
1288,wanjir,anjir 
1289,wat,buat
1290,wht,apa 
1291,wkt,waktu 
1292,wktu,waktu 
1293,yaini,ya ini
1294,yank,sayang 
1295,yank,sayang
1296,yap,ya
1297,yaudh,ya sudah
1298,yaw,ya
1299,yawda,ya sudah
1300,yela,yailah 
1301,yelah,yailah 
1302,yg,yang 
1303,yng,yang 
1304,yodah,ya sudah
1305,yoi,iya
1306,yup,ya 
1307,yups,ya
1308,yupz,ya
1309,ywdh,ya sudah
