_id,singkat,hasil
297,dlrng,dilarang 
298,dlu,dulu 
299,dluan,duluan 
300,dmana,dimana 
301,dmkn,dimakan 
302,dmn,dimana 
303,dmna,dimana 
304,dmnmn,dimana-mana 
305,dmny,dimananya 
306,dng,dengan 
307,dngar,dengar 
308,dnger,dengar 
309,dngerin,dengar 
310,dngn,dengan 
311,dngr,dengar 
312,doang,saja 
313,doank,saja 
314,donlot,download 
315,doyan,suka 
316,dpan,depan 
317,dpet,dapat 
318,dpk,depok 
319,dpkrkn,dipikirkan 
320,dpn,depan 
321,dpnrmh,depan rumah 
322,dpt,dapat 
323,dr,dari 
324,drg,dokter gigi 
325,drh,darah 
326,dri,dari 
327,drmh,di rumah 
328,drmn,darimana 
329,drpd,daripada 
330,drtd,dari tadi
331,drumah,di rumah
332,dsb,dan sebagainya
333,dsblh,di sebelah
334,dsini,disini 
335,dsklh,di sekolah
336,dsni,di sini
337,dst,dan seterusnya
338,dtg,datang 
339,dtgny,datangnya 
340,dtmbh,ditambah 
341,dtmpt,di tempat
342,dtng,datang 
343,duluw,dulu
344,dy,dia 
345,ea,ya
346,eeq,feses 
347,elo,kamu 
348,emang,memang 
349,emangnya,memangnya 
350,emank,memang 
351,emg,memang 
352,emg,memang
353,emng,memang 
354,engga,tidak 
355,enggak,tidak 
356,enk,enak 
357,entar,nanti 
358,ente,anda 
359,eps,episode 
360,eteb,bosan
361,eug,saya
362,faham,paham 
363,fb,facebook 
364,fav,favorit
365,fave,favorit
366,g,tidak
367,ga,tidak 
368,ga,tidak
369,gaada,tidak ada
370,gabisa,tidak bisa
371,gaboleh,tidak boleh
372,gabut,menganggur
373,gada,tidak ada
374,gaenak,tidak enak
375,gajadi,tidak jadi
376,gajelas,tidak jelas
377,gak,tidak 
378,gak,tidak
379,gakuat,tidak kuat
380,gakz,tidak
381,galo,galau 
382,gamasuk,tidak masuk
383,gamau,tidak mau
384,gapake,tidak pakai
385,gapapa,tidak apa-apa
386,gapernah,tidak pernah
387,gapunya,tidak punya
388,garem,garam 
389,gasuka,tidak suka
390,gatau,tidak tahu
391,gataw,tidak tahu
392,gatel,gatal 
393,gausah,tidak usah
394,gawe,kerja 
395,gblk,goblok
396,gbr,gambar 
397,gdg,gudang 
398,gembel,jelek 
399,gengges,ganggu
400,ghiy,lagi
401,gi,lagi
402,gilak,gila 
403,gile,gila 
404,gitu,begitu 
405,gituan,begitu 
406,gituh,begitu 
407,gituin,itu 
408,gk,tidak 
409,gk,gak 
410,gk,tidak
411,gmana,bagaimana 
412,gmbr,gambar 
413,gmn,bagaimana 
414,gmna,bagaimana 
415,gmpg,gampang 
416,gmpng,gampang 
417,gni,begini 
418,gnti,ganti 
419,gpny,tidak punya
420,gpp,tidak apa-apa
421,gpp,tidak apa apa
422,gprnh,tidak pernah
423,gr2,gara-gara 
424,gratisan,gratis 
425,gt,begitu 
426,gtu,begitu 
427,gtw,tidak tahu
428,gua,saya 
429,gue,saya 
430,gue,saya
431,gw,saya 
432,gw,saya
433,gws,get well soon
434,gx,tidak
435,hadeh,aduh 
436,hapal,hafal
437,haqq,hakiki 
438,hargain,hargai 
439,harini,hari ini
440,hbd,happy birthday
441,hbis,habis 
442,hbng,hubungi 
443,hbs,habis 
444,hbskn,habiskan 
445,helo,halo 
446,heters,pembenci 
447,hlg,hilang 
448,hlm,halaman 
449,hlmn,halaman 
450,hny,hanya 
451,hnya,hanya
452,hqq,hakiki 
453,hr,hari 
454,hrg,harga 
455,hrgny,harganya 
456,hri,hari 
457,hrs,harus 
458,hrsny,harusnya 
459,hrus,harus 
460,hti,hati 
461,hums,rumah
462,humz,rumah
463,huum,iya
464,idiiot,idiot 
465,idup,hidup
466,ily,saya cinta kamu 
467,inget,ingat 
468,ingetin,ingatkan 
469,ingt,ingat 
470,istrht,istirahat 
471,item,hitam 
472,itumah,itu 
473,ituu,itu 
474,iy,iya 
475,iy,iya
476,iyach,iya
477,iyain,mengiyakan 
478,iyap,iya
479,iyapz,iya
480,iyoo,iya 
481,iyup,iya
482,iyupz,iya
483,jadiin,jadi 
484,jadull,jadul 
485,jamber,jam berapa
486,jancoeg,jancuk 
487,jatoh,jatuh 
488,jawabanya,jawabannya 
489,jd,jadi 
490,jd,jadi
491,jdi,jadi 
492,jdi,jadi
493,jdny,jadinya 
494,jdnya,jadinya 
495,jdwl,jadwal 
496,jem,jam 
497,jg,juga 
498,jg,juga
499,jga,juga 
500,jga,juga
501,jgan,jangan 
502,jglh,jagalah 
503,jgn,jangan 
504,jgn,jangan
505,jgnjgn,jangan-jangan 
506,jing,anjing 
507,jink,anjing 
508,jk,jika 
509,jkrt,jakarta 
510,jkt,jakarta 
511,jl,jalan 
512,jln,jalan 
513,jm,jam 
514,jmbtn,jembatan 
515,jml,jumlah 
516,jmlh,jumlah 
517,jmpt,jemput 
518,jmt,jumat 
519,jng,jangan 
520,jngan,jangan 
521,jngan,jangan
522,jngn,jangan 
523,jngn,jangan
524,jpn,jepang 
525,jrg,jarang 
526,jrng,jarang 
527,jwb,jawab 
528,jwbn,jawaban 
529,jwbny,jawabannya 
530,kacian,kasihan
531,kagak,tidak 
532,kaka,kakak
533,kalee,kali 
534,kaleyan,kalian
535,kalo,kalau 
536,kalu,kalau
537,kamsud,maksud 
538,kaos/mug/jaket, 
539,karna,karena 
540,karoke,karaoke 
541,kasian,kasihan 
542,kau,kamu 
543,kau,kamu
544,kayak,mirip 
545,kayanya,kayaknya 
546,kbnykn,kebanyakan 
547,kbr,kabar 
548,kbtln,kebetulan 
549,kbykn,kebanyakan 
550,kdg,kadang 
551,kdng,kadang 
552,kdpn,ke depan
553,kebawa,terbawa 
554,kecakepan,kecakapan 
555,keknya,sepertinya 
556,kelaperan,kelaparan 
557,kelar,selesai 
558,keles,kali
559,keliatan,kelihatan 
560,kemaren,kemarin 
561,kenapah,kenapa
562,kenape,kenapa 
563,kenaps,kenapa
564,kenapz,kenapa
565,kenceng,kencang 
566,kepengen,ingin 
567,kepngn,ingin 
568,kepo,ingin tahu
569,kerikil,kerikil 
570,kesampean,kesampaian 
571,kesel,kesal 
572,kesian,kasihan 
573,ketawa,tertawa 
574,keujanan,kehujanan 
575,keyen,keren
576,kga,tidak 
577,kgak,tidak 
578,kgk,tidak 
579,khabar,kabar 
580,khan,kan 
581,khan,kan
582,khanz,kan
583,khsny,khususnya 
584,khwtr,khawatir 
585,kirimin,kirimkan 
586,kite,kita 
587,kk,kakak 
588,kk,kakak
589,kl,kalau 
590,klau,kalau 
591,klh,kalah 
592,kli,kali 
593,klmpk,kelompok 
594,klo,kalau 
595,klo,kalau
596,klp,kelompok 
597,kls,kelas 
598,klu,kalau 
599,kluar,keluar 
600,klw,kalau 
601,klw,kalau
602,km,kamu 
603,km,kamu
604,kmaren,kemarin 
605,kmi,kami 
606,kmn,kemana 
607,kmna,kemana 
608,kmpret,kampret 
609,kmps,kamus 
610,kmr,kamar 
611,kmren,kemarin 
612,kmrin,kemarin 
613,kmrn,kemarin 
614,kmrn,kemarin
615,kmu,kamu 
616,kmu,kamu
617,kn,kan 
618,kna,kena 
619,knapa,kenapa 
620,kngen,kangen 
621,knl,kenal 
622,knp,kenapa 
623,knp,kenapa
624,knpa,kenapa 
625,kntr,kantor 
626,knyng,kenyang 
627,konsen,konsentrasi 
628,koq,kok 
629,koq,kok
630,kosan,kost 
631,kowe,kamu 
632,kpala,kepala 
633,kpan,kapan 
634,kpan,kapan
635,kpd,kepada 
636,kpgn,ingin 
637,kpn,kapan 
638,kpn,kapan
639,kpngn,ingin 
640,krg,kurang 
641,krikil,kerikil 
642,krja,kerja 
643,krmh,ke rumah
644,krn,karena 
645,krna,karena 
646,krng,kurang 
647,krupuk,kerupuk 
648,ksh,kasih 
649,ksian,kasihan 
650,ksih,kasih 
651,ksmptn,kesempatan 
652,ksn,kesana 
653,kt,kita 
654,kta,kita 
655,ktdrn,ketiduran 
656,ktemu,ketemu 
657,ktmpt,ke tempat
658,ktmu,ketemu 
659,ktny,katanya 
660,ktnya,katanya 
661,ktr,kantor 
662,kuq,kok
663,kuy,ayo
664,kw,kamu
665,kyak,seperti 
666,kyaknya,sepertinya 
667,kyanya,sepertinya 
668,kyk,seperti 
669,kyk,kayak 
670,kykny,sepertinya 
671,kyknya,sepertinya 
672,kyny,sepertinya 
673,kzl,kesal 
674,kzl,kesal
675,laen,lain 
676,laff,cinta
677,lagian,lagi 
678,lam,salam
679,laper,lapar 
680,lb,lembar 
681,lbh,lebih 
682,lbih,lebih 
683,leh,boleh
684,lelaahh,lelah 
685,lemes,lemas 
686,lg,lagi 
687,lgi,lagi 
688,lgkp,lengkap 
689,lgs,langsung 
690,lgsg,langsung 
691,lgsng,langsung 
692,lgsung,langsung 
693,liatin,lihat 
694,lm,lama 
695,lmyn,lumayan 
696,lngkp,lengkap 
697,lngsg,langsung 
698,lngsng,langsung 
699,lngsung,langsung 
700,lnjt,lanjut 
701,lnsg,langsung 
702,lnsng,langsung 
703,lo,kamu 
704,lo,kamu
705,loe,kamu 
706,loe,kamu
707,lom,belum
708,lov,cinta
709,love,cinta
710,low,kalau
711,lp,lupa
712,lpngn,lapangan 
713,lpr,lapar 
714,lsg,langsung 
715,lu,kamu 
716,lu,kamu
717,luchu,lucu
718,lum,belum
719,lun,belum
720,luthu,lucu
721,luv,cinta
722,lvl,level 
723,lw,kamu
724,lwt,lewat 
725,maaci,terima kasih
726,maacih,terima kasih
727,maap,maaf
728,maen,main 
729,mager,malas bergerak
730,makaci,terima kasih
731,makana,karena itu
732,makasi,terima kasih
733,makasihhh,terima kasih
734,make,pakai 
735,makn,makan 
736,malem,malam 
737,malem2,malam-malam 
738,malming,malam minggu
739,mamah,mama 
740,mamam,makan 
741,mampet,mampat 
742,mane,mana 
743,maneh,mana 
744,manggil,panggil 
745,mano,mana 
746,mantep,mantap 
747,masakin,masakan 
748,mateng,matang 
749,maw,mau
750,mcm,macam 
751,mct,macet 
752,mdg,lebih baik
753,mdgn,baikan 
754,mdh,mudah 
755,mdpt,mendapat 
756,melulu,selalu 
757,mendingan,lebih baik
758,menyempurnakan, 
759,merhatiin,memperhatikan 
760,mesen,pesan 
761,mgkn,mungkin 
762,mhs,mahasiswa 
763,mhsw,mahasiswa 
764,miapa,demi apa
765,miapah,demi apa
766,mikirin,memikirkan 
767,milih,pilih 
768,minjem,pinjam 
769,misal'a,misalnya
770,mk,maka 
771,mka,maka 
772,mkan,makan 
773,mkanan,makanan 
774,mkanya,makanya 
775,mkn,makan 
776,mknan,makanan 
777,mkny,maka itu
778,mksd,maksud 
779,mksdny,maksudnya 
780,mksdnya,maksudnya 
781,mksdq,maksudku 
782,mksh,terima kasih
783,mksih,terima kasih
784,mlah,malah 
785,mlm,malam 
786,mls,malas 
787,mmg,memang 
788,mn,mana 
789,mna,mana 
790,mndg,lebih baik
791,mndgn,lebih baik
792,mndgr,mendengar 
793,mndi,mandi 
794,mnding,lebih baik
795,mndptkn,mendapatkan 
796,mng,menang 
797,mnrt,menurut 
798,mnsempurnakan, 
799,mnt,minta 
800,mnta,minta 
801,mntp,mantap 
802,mnum,minum 
803,mnyakitiku,menyakitiku 
804,mnyngkn,menyenangkan 
805,mo,mau 
806,moga,semoga 
807,mosok,masa 
808,mreka,mereka 
809,mrh,marah 
810,mrk,mereka 
811,ms,mas 
812,msg,masing 
813,msh,masih 
814,msih,masih 
815,msk,masuk 
816,mski,meski 
817,mskipun,meskipun 
818,mskn,masakan 
819,msl,misal 
820,mslh,masalah 
821,msti,harus 
822,muke,muka 
823,mulu,terus 
824,musti,harus 
825,muup,maaf
826,mu'uv,maaf
827,mw,mau 
828,mw,mau
829,mz,mas 
830,nabung,tabung 
831,naek,naik 
832,nahan,tahan 
833,nak,anak
834,nambah,tambah 
835,nanya,tanya 
836,napa,kenapa 
837,napas,nafas 
838,nape,kenapa 
839,naq,anak
840,nasgor,nasi goreng
841,nax,anak
842,nda,tidak
843,ndak,tidak
844,ndax,tidak
845,ndk,tidak 
846,negri,negeri 
847,nelen,telan 
848,nemenin,menemani 
849,nemu,temu 
850,nengok,tengok 
851,ngabungin,menggabungkan
852,ngadain,mengadakan 
853,ngajak,mengajak 
854,ngajak,mengajak
855,ngajar,ajar 
856,ngak,tidak 
857,ngakak,terbahak-bahak 
858,ngambek,marah 
859,ngambil,ambil 
860,nganter,antar 
861,nganterin,antar 
862,ngarep,mengharap 
863,ngarepinnya,mengharapkannya 
864,ngasi,kasih 
865,ngasih,kasih 
866,ngegosip,gosip 
867,ngehadepin,menghadapi 
868,ngeliatin,melihat 
869,ngeluh,keluh 
870,ngerasa,merasa 
871,ngerasain,merasakan 
872,ngerjain,mengerjakan 
873,ngerokok,merokok 
874,ngerokok,merokok
875,ngetik,ketik 
876,ngga,tidak 
877,ngga,tidak
878,nggak,tidak 
879,nggak,tidak
880,nggax,tidak
881,nggesek,menggesek
882,nggk,tidak 
883,nggosok,menggosok
884,ngibul,berbohong
885,ngidam,idam 
886,ngikutin,ikuti 
887,ngilangin,menghilangkan 
888,nginep,menginap 
889,ngingetin,mengingatkan 
890,ngjk,mengajak 
891,ngk,tidak 
892,ngmbl,mengambil 
893,ngmg,omong 
894,ngmng,berbicara 
895,ngmpl,berkumpul 
896,ngmps,ke kampus
897,ngntk,mengantuk 
898,ngntr,ke kantor
899,ngobatin,obati 
900,ngobrol,bicara 
901,ngomong,bicara 
902,ngomongin,membicarakan 
903,ngrasain,merasakan 
904,ngundurin,mengundurkan 
905,ngunyah,kunyah 
906,ngurus,urus 
907,ni,ini 
908,nich,ini
909,ninggalin,tinggalkan 
910,nmbh,tambah 
911,nmny,namanya 
912,nmpk,nampak 
913,nmr,nomor 
914,nnti,nanti 
915,nntn,nonton 
916,nntn,menonton
917,nnton,nonton 
918,nolak,tolak 
919,nraktir,traktir 
920,ntah,entah 
921,ntap,mantap
922,ntar,nanti 
923,nti,nanti 
924,ntn,nonton 
925,ntn,menonton
926,nton,nonton 
927,ntr,nanti 
928,ntu,itu 
929,nungguin,tunggu 
930,nyakiti,menyakiti 
931,nyakitin,menyakiti 
932,nyalain,nyalakan 
933,nyampe,sampai 
934,nyangka,sangka 
935,nyantai,santai 
936,nyari,cari 
937,nyebelin,menyebalkan 
938,nyeremin,menyeramkan 
939,nyesek,sesak 
940,nyesel,menyesal 
941,nyetel,setel 
942,nyiksa,menyiksa 
943,nyoba,coba 
944,nyobain,coba 
945,nyuci,cuci 
946,nyukur,cukur 
947,nyuruh,suruh 
948,nyusul,susul 
949,oc,oke
950,oce,oke
951,ohh,oh
952,ok,oke
953,okedech,oke
954,okedeh,oke
955,okeh,baik 
956,okeh,oke
957,okz,oke
958,ol,online 
959,org,orang 
960,org,orang
961,org2,orang-orang 
962,orng,orang 
963,ortu,orangtua 
964,ouch,oh
965,ouh,oh
966,owh,oh
967,pait,pahit 
968,pake,pakai 
969,pakek,pakai 
970,pantesan,pantas 
971,pasutri,pasangan suami istri
972,paz,pas
973,pcr,pacar 
974,pcrn,pacaran 
975,pcrny,pacarnya 
976,pd,pada 
977,pdahal,padahal 
978,pdhal,padahal 
979,pdhl,padahal 
980,pedes,pedas 
981,pegi,pergi 
982,pengen,ingin
983,penghianat,pengkhianat 
984,pengin,ingin 
985,pengin,ingin
986,pesen,pesan 
987,pg,pergi 
988,pgen,ingin 
989,pgn,ingin 
990,pgn,ingin
991,pilem,film 
992,pingin,ingin 
993,pinjem,pinjam 
994,pinter,pintar 
995,pkai,pakai 
996,pke,pakai 
997,plg,pulang 
998,plis,tolong 
999,pljrn,pelajaran 
1000,plng,pulang 
1001,pmpuan,perempuan 
1002,pndh,pindah 
1003,pngen,ingin 
1004,pngn,ingin 
1005,pnjng,panjang 
1006,pnting,penting 
1007,pntng,penting 
1008,pny,punya 
1009,pnya,punya 
1010,pokonya,pokoknya 
1011,praktek,praktik 
1012,prasaan,perasaan 
1013,prgi,pergi 
1014,prmhn,perumahan 
1015,prmptn,perempatan 
1016,prnah,pernah 
1017,prnh,pernah 
1018,prthnkn,pertahankan 
1019,psg,pasang 
